seller_id,seller_state,seller_city,orders,avg_delivery_risk_score,late_delivery_rate,total_revenue,total_freight
7f152321c60a266edc53af1925ef96c1,SC,criciuma,20,14.34,0.3,4147.8,609.12
323ce52b5b81df2cd804b017b7f09aa7,SP,sao paulo,29,14.32,0.1724,2374.3,393.35
71039d19d4303bf9054d69e9a9236699,SP,sao paulo,34,14.3,0.2353,3507.3,597.85
2a1348e9addc1af5aaa619b1a3679d6b,MG,belo horizonte,48,14.28,0.2708,3041.25,821.55
1ca7077d890b907f89be8c954a02686a,SP,santana de parnaiba,107,14.27,0.2243,12454.44,1522.27
d9e7e7778b32987280a6f2cb9a39c57d,SP,sao paulo,11,14.25,0.3636,722.5,263.89
6e386f64c84e482f0b9abf960797ee1b,SP,sao paulo,29,14.2,0.1034,12209.3,611.51
9bc484c87d79cd4874e05ca182658045,SP,sao paulo,8,14.12,0.25,970.0,105.12
b18871c324516afa228a13e8f1ef0ae9,SP,sao paulo,9,13.93,0.1111,1064.6,243.8
52f0fe436a347ddad7ed5f9aa4e27eaa,SP,sao paulo,19,13.9,0.1579,1525.24,452.35
02d35243ea2e497335cd0f076b45675d,RN,natal,12,13.88,0.4167,5286.0,499.39
d6ab728cf30867cf3f1a2e216ae2f9b7,SP,sao paulo,12,13.84,0.0,2002.0,231.82
81336a0f57a33776419727a300249e90,SP,sao carlos,15,13.62,0.2,1351.9,277.8
1dc2de47ee26a0a5b12dc14fd6dc0dea,SP,ibitinga,25,13.53,0.12,1695.29,632.29
f76a3b1349b6df1ee875d1f3fa4340f0,SP,sao paulo,24,13.49,0.375,4296.51,637.24
8160255418d5aaa7dbdc9f4c64ebda44,SP,ibitinga,369,13.48,0.168,46621.27,7790.62
a6bd7d1ccdac48c6b33b28596b7eb122,PB,mamanguape,13,13.47,0.1538,11770.11,579.82
cac63f48c38cd7d002a7e846dcd99a23,SP,sumare,10,13.44,0.0,938.9,146.33
e9c6969d40e6a3d2d0f90013165c2b98,SP,sao paulo,10,13.39,0.0,5239.98,242.0
3fd1e727ba94cfe122d165e176ce7967,SP,araraquara,34,13.39,0.2059,2642.5,540.77
9906e7aa42a3c067b7c9a564d01c4320,PR,maringa,12,13.39,0.1667,2738.8,524.57
